ID_Tweet,Fecha_UTC,Contenido_Texto,Retweets,Favoritos,Sentimiento,Puntuacion_Sentimiento
at://did:plc:x5buzqb3wyakamo3tqdktfuy/app.bsky.feed.post/3mofeoia6no2p,2026-06-16T08:23:34.410459Z,"Put $1,000 in Nvidia vs $1,000 in Apple in 2015. NVDA: $300k. AAPL: $18k. But here's what nobody mentions — NVDA's -66% drawdown in 2022. Holding through that isn't strategy, it's stomach. inv1000.com #Investing #Nvidia #AAPL",0,1,neutral,0.6192
at://did:plc:l3p22uzi37efemvwkrb75x6r/app.bsky.feed.post/3moezlmc2t22h,2026-06-16T05:05:09.941Z,"AI: The coming 'Personal AI Training' Wave. AI-RTZ #1119 ...big expansion of AI models vs today's Frontier LLM AIs, led by Apple, Google, Meta et al michaelparekh.substack.com/p/ai-the-com... $AAPL $META $GOOG",0,1,neutral,0.5614
at://did:plc:rwuqizds4m5nwuvmnhgbriol/app.bsky.feed.post/3moes2evmr52f,2026-06-16T02:50:14+00:00,"Given the News Out of WWDC, Was Warren Buffett Right to Sell Apple Stock? https://www.europesays.com/people/115535/ Apple (NASDAQ: AAPL) has long been the biggest name in the Berkshire Hathaway (NYSE: BRKA) (NYSE: BRKB) portfolio.…",0,3,neutral,0.759
at://did:plc:bhms3ggtnzaevob5ft7rfwpu/app.bsky.feed.post/3moee3bq3m225,2026-06-15T22:40:13.416Z,もちろん開発者さんのやる気次第なのだけれど、機能拡張不足でSafariを諦めてFirefoxにした口なので、状況が好転するといいですね。 Apple、昨年発表したMacやXcodeなしでSafari機能拡張を開発＆パッケージ化しmacOSやiOS/iPadOS、visionOSへ配布できる「Safari Web Extension Packager」の使い方とサンプルコードを公開。 | AAPL Ch. applech2.com/archives/202...,0,0,neutral,0.8571
at://did:plc:rwuqizds4m5nwuvmnhgbriol/app.bsky.feed.post/3mocc5cjttm2b,2026-06-15T03:00:13+00:00,"Apple’s (NASDAQ: AAPL) Weak WWDC Response Suggests Berkshire Hathaway (NYSE: BRK.B) Was Right To Trim Its Position https://www.europesays.com/people/114044/ Apple Inc. (NASDAQ: AAPL) held its annual Worldwide Developers Conference this month, and the headline announcement was a…",0,0,neutral,0.8225
at://did:plc:bhms3ggtnzaevob5ft7rfwpu/app.bsky.feed.post/3mobqt6wgcs2l,2026-06-14T21:50:21.471Z,実はまだ基調講演を見ていないので、どんな感じになるのか分かっていない……(๑ŏ _ ŏ๑) Apple、macOS 27 Golden GateやiOS/iPadOS 27、watchOS 27で採用されるLiquid Glassの屈折効果に対応したアイコン作成が可能なMacアプリ「Icon Composer v2.0」のBeta版とテンプレートを公開。 | AAPL Ch. applech2.com/archives/202...,0,0,neutral,0.8808
at://did:plc:553eofo6hvuxcsxo7qfidxjs/app.bsky.feed.post/3mobcx2bh2i2b,2026-06-14T17:41:57.440Z,When Does AAPL Report Earnings | Analyzing Quarterly Performance Metrics Jun 14 2026 16:30 UTC Apple Earnings Release Schedule Understanding the timing of Apple Inc. (AAPL) financial disclosu #apple-inc #aapl #earnings-report #tokenized-equities #web3 #traditional-finance,0,0,neutral,0.9151
at://did:plc:24etuekzmqusiqeclet7a3yc/app.bsky.feed.post/3moaw2kwzea2c,2026-06-14T13:51:17Z,Fundamental analysis of $AAPL (Apple Inc.) based on financial data and reported results. Check my full analysis here: https://penkeinvesti... #AAPL #Apple,0,0,neutral,0.692
at://did:plc:rwuqizds4m5nwuvmnhgbriol/app.bsky.feed.post/3moauupqdth2b,2026-06-14T13:30:03+00:00,"Given the News Out of WWDC, Was Warren Buffett Right to Sell Apple Stock? https://www.europesays.com/people/113395/ Apple (AAPL 1.52%) has long been the biggest name in the Berkshire Hathaway (BRKA +0.73%) (BRKB +0.55%) portfolio.…",0,0,neutral,0.8004
at://did:plc:m7qmvmq7sfaa7y5jjhqxzp5c/app.bsky.feed.post/3moapyzbkd32i,2026-06-14T12:03:03Z,"I've modelled Apple cashflows: Apple at 18x P/E, FCF ~4.5%. $AAPL priced for tedium; embedded services+AI optionality ignored. Buy 12m +25% conviction. quantatative. https://www.reuters.com/technology/apple-vs-openai-latecomer-leviathan-makes-its-move-2026-06-10/",0,0,neutral,0.6645
at://did:plc:ua3v63npds46j6csu45vjgtv/app.bsky.feed.post/3moaaellp3s2x,2026-06-14T07:23:11.826Z,全球前十大市值公司 SpaceX IPO 後最新排名 根據最新市值榜單，SpaceX 在 IPO 後正式進入全球市值前十大，市值約 2.104 兆美元，排名全球第 7，位在台積電之後、博通之前。Reuters 也報導，SpaceX 在 Nasdaq 掛牌後市值突破 2 兆美元，成為全球資本市場的重要新巨頭。 全球前十大市值公司如下： NVIDIA 輝達 市值約 4.969 兆美元 股票代號：NVDA 國家：美國 Alphabet / Google 市值約 4.367 兆美元 股票代號：GOOG 國家：美國 Apple 蘋果 市值約 4.275 兆美元 股票代號：AAPL 國家：美國 Mi,0,0,neutral,0.8842
at://did:plc:g7g2hy5d55k3qdgjcchxn2uf/app.bsky.feed.post/3mo7rwt76kx2i,2026-06-14T03:04:57Z,"Watching Apple, I think $AAPL hype misses real rot: upgrade cycles thin, services growth baked-in, margins under pressure. I predict 25% re-rating in 18 months - market overprices halo; inefficency to exploit.",0,0,negative,0.6592
at://did:plc:stcjaibae5ydvgzeruyvpviu/app.bsky.feed.post/3mo6rostrrrq2,2026-06-13T12:01:19.000Z,"Benzinga Bulls And Bears: Oracle, Apple, Super Micro — And SpaceX IPO Boosts Market Benzinga examined the prospects for many investors' favorite stocks over the last week — here's a loo... #AAPL #ACHC #AI-Generated #AMD #Benzinga #Bulls #And #Bears #BROS #Bulls #And Origin | Interest | Match",0,0,positive,0.5612
