tweet_id,fecha_utc,contenido_texto,retweets,favoritos,fecha_limpia
at://did:plc:ajs3creyy2546keodpubjkv6/app.bsky.feed.post/3mh4y5cb2m22c,2026-03-15 22:21:36.615000+00:00,"The apple 🍎 worm 🐛 peeked out today and saw its shadow, 10 (or 11?) more weeks of school",0,1,2026-03-15
at://did:plc:2i5kmwc6cx4lblvmfimyu2vi/app.bsky.feed.post/3mh52l7zbwdp2,2026-03-15 23:05:08+00:00,"i bought the ""moondrop chu 2"" headphones. i hope they dont go quiet in one ear after a few month like my previous pair of IEMs. if they do im just gonna try and get some apple dirtybuds or something. sports earbuds that suck ass. idk",0,1,2026-03-15
at://did:plc:u5wqhlcbyhexd35foqmt4pa5/app.bsky.feed.post/3mh54ug562k2o,2026-03-15 23:46:07.403000+00:00,my wifee...apple pencil.....please come home to meeeeeeeeeeeeee~,0,4,2026-03-15
at://did:plc:34w6p2nygxpqkiqbkrnq56ip/app.bsky.feed.post/3mh3h4iauss2k,2026-03-15 07:43:19+00:00,#NowPlaying 🕡 6:43 pm 🎵 So Different 🧑‍🎤 ICXN 💿 Ibrahim 🎧 Apple Music / YouTube Music,0,0,2026-03-15
at://did:plc:mjzxmlyonr3po7h2ycg6r37i/app.bsky.feed.post/3mh33wa76ns2y,2026-03-15 04:23:55.067000+00:00,The connections are my favorite part. @nanette.bsky.social referenced Sweet Valley High’s Regina Morrow trying cocaine once and dying; I have a poem about that! @ponytailup.bsky.social mentioned Bath & Body Works Country Apple—what high school smelled like! And did half of us play the flute in band?,0,5,2026-03-15
at://did:plc:extqxtsoc4q4qnbmwizooppn/app.bsky.feed.post/3mh4ar7z6xu2z,2026-03-15 15:22:39+00:00,#NowPlaying 🕑 2:22 am 🎵 Dancing On The Wall 🧑‍🎤 MUNA 🎧 Apple Music / YouTube Music 📝 Lyrics,0,0,2026-03-15
at://did:plc:extqxtsoc4q4qnbmwizooppn/app.bsky.feed.post/3mh4cwxr2px2b,2026-03-15 16:00:04+00:00,#NowPlaying 🕒 3:00 am 🎵 Disco Cowgirl 🧑‍🎤 G Flip 🎧 Apple Music / YouTube Music 📝 Lyrics,0,0,2026-03-15
at://did:plc:uwqxzj4h5q2dag7m6dhmql2k/app.bsky.feed.post/3mh4wbjoaek2a,2026-03-15 21:48:11.122000+00:00,I've recently made the switch to Apple Music for comeback. It doesn't know that it shouldn't make me listen to ON (feat. Sia),1,3,2026-03-15
at://did:plc:wu6sxinmmx34chddgvodhv5w/app.bsky.feed.post/3mh4wcf6yws26,2026-03-15 21:48:39.983000+00:00,tornado warning while at the apple store fucking awesome man,0,2,2026-03-15
at://did:plc:q2ufl45b6iovb4ckkslxgpt2/app.bsky.feed.post/3mh4x74xqls2e,2026-03-15 22:04:44.435000+00:00,"We're back and ready to go!!! To follow The Confabulators, you watch us on youtube or listen on RSS, Apple, Spotify, I Heart Radio, or wherever you get your podcasts: rss.com/podcasts/the...",0,1,2026-03-15
at://did:plc:extqxtsoc4q4qnbmwizooppn/app.bsky.feed.post/3mh4ehb6hek2z,2026-03-15 16:28:25+00:00,#NowPlaying 🕒 3:28 am 🎵 Cool About It 🧑‍🎤 boygenius 💿 The Record 🎧 Apple Music / YouTube Music 📝 Lyrics,0,0,2026-03-15
