fecha,volumen_noticias,sentimiento_promedio,puntuacion_positiva,puntuacion_negativa,polaridad_promedio,volatilidad_sentimiento,uso_primera_persona
2021-01-01,67,-0.944,2.331,3.274,5.605,3.15,21.967
2021-01-02,42,0.363,2.544,2.181,4.725,2.325,21.952
2021-01-03,93,-1.092,2.32,3.412,5.732,2.866,19.353
2021-01-04,136,-0.12,2.313,2.433,4.746,2.652,21.535
2021-01-05,318,-0.3,2.527,2.827,5.354,2.183,21.069
2021-01-06,534,-2.357,2.027,4.384,6.411,3.967,19.944
2021-01-07,428,-2.416,2.155,4.571,6.727,3.912,21.373
2021-01-08,232,-0.207,2.119,2.326,4.445,2.756,20.688
2021-01-09,217,-2.761,2.177,4.938,7.115,2.849,23.52
2021-01-10,369,-2.284,2.402,4.686,7.088,2.179,22.387
2021-01-11,571,-1.364,2.605,3.969,6.575,2.029,23.731
2021-01-12,263,-1.102,2.55,3.652,6.202,2.872,21.858
2021-01-13,408,0.106,2.503,2.398,4.901,2.442,22.255
2021-01-14,280,-0.279,2.724,3.003,5.728,2.987,22.082
2021-01-15,455,-1.598,2.022,3.62,5.642,2.737,20.738
2021-01-16,150,-1.276,2.195,3.471,5.666,3.108,21.825
2021-01-17,212,-2.922,1.965,4.886,6.851,2.551,21.782
2021-01-18,209,-0.243,2.596,2.839,5.434,3.106,21.563
2021-01-19,202,-0.189,2.576,2.765,5.341,2.557,22.023
2021-01-20,234,0.569,2.683,2.114,4.796,2.843,21.591
2021-01-21,227,0.402,2.541,2.138,4.679,2.307,20.892
2021-01-22,285,0.004,2.73,2.726,5.456,2.278,21.575
2021-01-23,85,-0.243,2.692,2.934,5.626,2.639,22.367
2021-01-24,88,-2.176,2.245,4.42,6.665,2.421,20.957
2021-01-25,300,-1.016,2.745,3.761,6.507,3.31,20.794
2021-01-26,272,0.589,2.725,2.136,4.86,2.508,21.157
2021-01-27,381,-0.476,2.45,2.926,5.376,2.97,21.507
2021-01-28,492,-0.265,2.494,2.759,5.254,2.175,21.002
2021-01-29,324,-0.258,2.601,2.859,5.46,2.53,21.964
2021-01-30,106,-0.303,2.709,3.012,5.722,2.973,22.29
2021-01-31,62,-0.487,2.43,2.917,5.348,2.183,21.494
2021-02-01,306,-0.938,2.79,3.728,6.518,3.786,21.037
2021-02-02,199,0.697,2.849,2.152,5.001,2.719,21.784
2021-02-03,324,0.192,2.572,2.38,4.953,2.518,21.106
2021-02-04,238,0.392,2.83,2.437,5.267,2.853,21.886
2021-02-05,203,0.333,2.734,2.401,5.136,2.478,21.801
2021-02-06,70,-0.01,2.636,2.647,5.283,3.095,22.054
2021-02-07,84,-0.152,2.25,2.403,4.653,2.096,23.761
2021-02-08,276,0.015,2.134,2.119,4.252,2.453,20.639
2021-02-09,730,-4.128,2.105,6.233,8.338,4.172,21.698
2021-02-10,336,0.106,2.672,2.566,5.238,2.364,21.72
2021-02-11,273,0.651,2.856,2.205,5.062,2.425,22.032
2021-02-12,165,0.941,2.819,1.878,4.697,2.208,21.227
2021-02-13,71,0.547,2.718,2.171,4.889,2.778,21.634
2021-02-14,54,-0.662,2.732,3.394,6.126,3.709,21.873
2021-02-15,154,-0.421,2.251,2.671,4.922,2.319,21.469
2021-02-16,169,0.636,2.716,2.08,4.797,2.654,21.573
2021-02-17,440,-1.426,2.148,3.574,5.721,3.442,21.088
2021-02-18,493,-3.299,2.487,5.786,8.273,4.014,20.32
2021-02-19,223,-0.566,2.267,2.833,5.101,2.652,21.332
2021-02-20,116,-0.481,2.345,2.827,5.172,2.551,22.12
2021-02-21,128,-0.388,2.436,2.824,5.26,2.114,21.101
2021-02-22,192,0.304,2.621,2.317,4.938,2.281,21.166
2021-02-23,212,-0.51,2.452,2.961,5.413,3.579,20.795
2021-02-24,319,0.414,3.013,2.599,5.612,2.709,21.812
2021-02-25,443,0.418,3.581,3.164,6.745,1.685,22.67
2021-02-26,343,0.101,3.095,2.995,6.09,1.921,21.256
2021-02-27,116,-0.206,2.616,2.822,5.437,2.423,20.425
2021-02-28,67,-0.214,2.76,2.974,5.735,2.422,21.77
2021-03-01,264,-0.675,2.612,3.287,5.899,3.327,21.174
2021-03-02,228,0.562,2.765,2.203,4.969,2.47,21.203
2021-03-03,210,0.694,2.939,2.245,5.183,2.429,21.409
2021-03-04,331,-1.618,2.346,3.964,6.31,3.096,21.066
