tweet_id,fecha_utc,contenido_texto,retweets,favoritos,fecha_limpia
at://did:plc:vo7tbj7e6pzsvjf2ghihkjun/app.bsky.feed.post/3mojboiutj72t,2026-06-17 21:40:35.890000+00:00,📈 Heavy institution #Equity #optionsvolume! PM Top Equity Activity from 🔥 INSIDERFINANCE.COM 🔥 1. #NVDA 270.5K 2. #TSLA 201.6K 3. #AAPL 94.1K 4. #META 86.1K 5. #AMZN 63.1K #OptionFlow #OptionsTrading #Trading,0,0,2026-06-17
at://did:plc:6bazke6lmaisw2onk47k4ito/app.bsky.feed.post/3mojavbsl5423,2026-06-17 21:26:29.527346+00:00,"$AAPL has an RS Score of 83.53, scoring 84 on Profitability. See the full breakdown: https://www.RankedStocks.com",0,0,2026-06-17
at://did:plc:juuoj2cgm53d7j4lfe3z6yd4/app.bsky.feed.post/3mojau56i3k2m,2026-06-17 21:25:51.230000+00:00,$SPY $QQQ $DIA My Profile $IXIC $GSPC $DJI February 2020 I had 40 Stocks including 8200 AMD 200 BABA 200 AAPL 100 AXP 100 GILD others I buy SPY 374 cheated 144 000 selling 230 to buy GE // I want everyone to know how evil SPY ETF is.,0,0,2026-06-17
at://did:plc:6lwfvmss45d7j7fot34v2kw5/app.bsky.feed.post/3moja56ysac2b,2026-06-17 21:13:01.388000+00:00,"The web was ready, $AAPL wanted money and you know it.",0,1,2026-06-17
at://did:plc:vo7tbj7e6pzsvjf2ghihkjun/app.bsky.feed.post/3moj5i5tmup2z,2026-06-17 20:25:28.027000+00:00,💥 Institutions trading #options with high urgency! AM Top Sweep Activity from 🔥 INSIDERFINANCE.COM 🔥 1. #NVDA 86.0K 2. #TSLA 71.0K 3. #AAPL 62.6K 4. #V 14.7K 5. #AMD 12.2K #OptionFlow #OptionsTrading #Trading,0,0,2026-06-17
at://did:plc:zm72dlirywqtoaoftqm2xe24/app.bsky.feed.post/3moj57ssg7s23,2026-06-17 20:20:48.036000+00:00,Final Tally - 2616/1226/1382/8... OTEs are ... Daily Wrap - Tickers: $QQQ-383 $SPY-192 $IWM-44 $NVDA-44 $TQQQ-38 $SPCX-30 $SLV-29 $SQQQ-29 $XLK-19 $RSP-14 $INTC-9 $ARKK-7 $GDX-7 $DIA-6 $HOOD-6 $GLD-6 $DRAM-6 $IAU-4 $AAPL-4 $UCO-4 $AG-4 $NVDL-4,0,0,2026-06-17
at://did:plc:6bazke6lmaisw2onk47k4ito/app.bsky.feed.post/3moj43hq5ct2i,2026-06-17 20:00:28.397391+00:00,"$AAPL has an RS Score of 83.53, scoring 84 on Profitability. See the full breakdown: https://www.RankedStocks.com",0,0,2026-06-17
at://did:plc:43fdk46qa5gsokzygzildsaq/app.bsky.feed.post/3moj3y5jefz2o,2026-06-17 19:58:36.700827+00:00,Apple prepares a second-generation iPhone Air for Spring 2027. $AAPL,1,1,2026-06-17
at://did:plc:vo7tbj7e6pzsvjf2ghihkjun/app.bsky.feed.post/3moix2jc7xu2j,2026-06-17 18:30:27.680000+00:00,🚨 #BreakoutAlert from INSIDERFINANCE.COM Technical Analysis System 🚨 🚀 #AAPL 💰 Sell Signal @ 297.01 📈 1 Hour Chart 💪 90 #TradeSignal strength ✅ 18 indicators 🎯 Stop loss + profit levels👇 #StockMarket #DayTrading #SwingTrading #FinTwit #TechnicalAnalysis,0,2,2026-06-17
at://did:plc:vovacbsjyzxch6dqkrieaa5p/app.bsky.feed.post/3moiv2fwihm2x,2026-06-17 17:54:36.623332+00:00,Position is the whole game now. $AAPL sells more watches than all of Switzerland and still chases the next interface. Owning the device means owning the door — and a door is worth more than any single product. 5/6,0,0,2026-06-17
